site	species	sex	tail	body	total	foot	ear
26	deermouse	M	60.82	77.76	138.58	18.35	12.29
26	deermouse	F	61.78	77.63	139.41	18.78	11.06
26	deermouse	F	59.43	77.17	136.6	18.02	11.94
26	deermouse	M	57.99	77.78	135.77	17.83	10.82
26	deermouse	M	54.17	74.3	128.47	17.7	12.41
26	deermouse	M	62.22	74.57	136.79	18.29	11.9
29	deermouse	M	60.43	74.21	134.64	18.86	13.4
35	deermouse	F	54.37	68.1	122.47	17.97	11.14
35	deermouse	F	57.58	71.16	128.74	18.1	11.28
42	deermouse	M	59.31	74.49	133.8	18.34	10.95
42	deermouse	M	57.39	76.62	134.01	18.93	12.59
42	deermouse	M	39.33	78.4	117.73	18.13	12.25
42	deermouse	F	51.89	70.41	122.3	17.8	12.66
42	deermouse	M	53.51	72.72	126.23	17.52	11.33
42	deermouse	F	56.79	79.9	136.69	17.51	12.44
42	deermouse	F	57.29	79.44	136.73	18.44	12.17
42	deermouse	M	61.74	77.46	139.2	17.17	12.77
42	deermouse	M	57.88	74.79	132.67	18.38	12.55
42	deermouse	F	36	65.48	101.48	5.07	5.38
42	deermouse	M	72.37	90	162.37	22.39	16.01
42	deermouse	F	68.53	66.7	135.23	13.89	7.4
42	deermouse	F	56.75	72.58	129.33	16.48	9.79
42	deermouse	M	22	85.46	107.46	23.47	12.86
44	deermouse	F	58.65	66.03	124.68	20.37	15.48
44	deermouse	M	61.16	80.01	141.17	19.13	14.98
47	deermouse	M	46.64	53.53	100.17	15	13
47	deermouse	M	66.12	58.63	124.75	16.83	12.53
47	deermouse	M	63.73	77.83	141.56	20.06	15.11
47	deermouse	F	49.94	60.08	110.02	14.04	11.66
47	deermouse	F	50.28	61.56	111.84	17.91	13.33
52	deermouse	F	48.2	71.19	119.39	17.53	12.19
52	deermouse	M	68	81.54	149.54	18.41	11.53
52	deermouse	M	68.03	84.9	152.93	18.88	13.57
52	deermouse	F	62.13	88.89	151.02	18.33	13.01
52	deermouse	F	59.62	73.14	132.76	18.04	13.21
52	deermouse	M	48.92	74.01	122.93	17.88	12.99
52	deermouse	M	61.22	85.92	147.14	19.09	12.31
52	deermouse	M	62.06	74.39	136.45	18.84	12.86
52	deermouse	F	62.41	76.79	139.2	18.71	12.82
52	deermouse	M	55.14	75.3	130.44	17.66	13.41
52	deermouse	M	56.14	70.5	126.64	18.04	13.44
52	deermouse	F	48.18	72.72	120.9	17.38	11.77
52	deermouse	M	60.36	83.26	143.62	18.48	13.26
52	deermouse	M	54.94	76.14	131.08	18.76	12.52
52	deermouse	M	47.64	72.65	120.29	17.7	12.24
52	deermouse	M	56.32	79.63	135.95	18.45	11.53
52	deermouse	F	59.04	74.05	133.09	18.15	13.21
69	deermouse	F	59.71	73.99	133.7	19.37	12.78
69	deermouse	F	60.98	70.98	131.96	20.01	15
69	deermouse	M	42.8	54.43	97.23	10.07	3.84
69	deermouse	M	60	81.01	141.01	18.36	15.02
69	deermouse	F	59.99	80.01	140	20.31	13.65
69	deermouse	M	41.08	53.64	94.72	9.89	4.76
69	deermouse	F	53.89	66.66	120.55	20	15
75	deermouse	F	71.15	94.76	165.91	18.58	12.77
75	deermouse	M	51.21	79.43	130.64	17.93	11.2
75	deermouse	M	59.87	64.87	124.74	22.47	13.07
75	deermouse	M	65.1	79.9	145	23.3	15.61
75	deermouse	M	66.02	78.89	144.91	20.06	14.79
75	deermouse	M	73.7	84.5	158.2	21.78	14.41
75	deermouse	M	71.45	99.86	171.31	20.75	17.17
75	deermouse	M	58.61	75.09	133.7	21.48	14.31
75	deermouse	M	65.42	79.31	144.73	20.71	13.79
75	deermouse	M	45.8	71.97	117.77	19.66	13.63
75	deermouse	M	52.28	66.33	118.61	17.47	14.38
75	deermouse	M	59.41	74.2	133.61	18.93	12.35
75	deermouse	M	65.63	72.36	137.99	23.05	16.12
75	deermouse	M	66.28	74.14	140.42	19.2	16.33
75	deermouse	M	58.15	74.68	132.83	19.19	16.03
75	deermouse	M	58.96	73.07	132.03	20.9	15.08
75	deermouse	M	62.7	80.75	143.45	18.18	14.91
75	deermouse	M	59.87	69.89	129.76	22.06	15.33
75	deermouse	M	64.02	76.1	140.12	21.32	14.79
76	deermouse	F	60	66.21	126.21	17.01	15.11
76	deermouse	F	66.46	84.19	150.65	20	15
76	deermouse	M	58.83	80.01	138.84	20	15
76	deermouse	F	53.37	80	133.37	16.63	14.21
76	deermouse	M	56.83	66.25	123.08	20	14.13
76	deermouse	M	53.94	80.26	134.2	19.84	13.99
76	deermouse	M	53.37	70	123.37	19.9	15.03
76	deermouse	M	51.05	71.64	122.69	19.94	14.89
76	deermouse	F	59.93	66.71	126.64	17	13.37
76	deermouse	M	57.17	62.12	119.29	16.23	14.98
76	deermouse	M	53.14	74.15	127.29	19.46	15.15
91	deermouse	M	53.67	75.69	129.36	18.31	11.43
91	deermouse	F	56.75	75.92	132.67	18.56	12.75
91	deermouse	F	56.26	75.2	131.46	18.84	13.08
91	deermouse	F	66.61	83.41	150.02	18.4	13
91	deermouse	M	58.25	76.9	135.15	18.73	12.64
91	deermouse	M	57.9	74.74	132.64	19.61	12.84
91	deermouse	M	55.88	81.16	137.04	18.78	12.82
91	deermouse	M	63.21	74.97	138.18	18.63	11.73
91	deermouse	F	68.02	83.13	151.15	19.4	12.95
91	deermouse	F	55.9	76.91	132.81	19.23	11.76
91	deermouse	F	48.52	69.86	118.38	18.51	11.78
91	deermouse	M	56.01	75.82	131.83	18.2	12.11
91	deermouse	F	66.66	78.76	145.42	19.2	12.39
91	deermouse	F	47.66	69.56	117.22	18.79	12.17
91	deermouse	F	60.34	75.45	135.79	18.06	11.39
91	deermouse	F	54.39	73.08	127.47	18.91	13.11
91	deermouse	F	50.58	68.25	118.83	18.22	12.43
91	deermouse	M	57.77	86.88	144.65	19.34	12.95
91	deermouse	F	64.45	80.08	144.53	18.78	14.72
91	deermouse	F	50.3	67.67	117.97	19.07	12.86
91	deermouse	F	46.85	69.03	115.88	17.08	12.1
91	deermouse	M	53.6	73.74	127.34	18.92	12.39
91	deermouse	M	55.32	72.02	127.34	19.05	13.95
91	deermouse	M	51.42	70.66	122.08	18.53	12.05
VAL	deermouse	M	65	85	150	21	14
VAL	deermouse	M	50	68	118	17	12
VAL	deermouse	M	50	70	120	16	11
VAL	deermouse	M	54	81	135	16	13
VAL	deermouse	M	47	74	121	15	11
VAL	deermouse	M	50	80	130	19	11
VAL	deermouse	M	50	80	130	18	14
VAL	deermouse	F	50	90	140	20	12
VAL	deermouse	M	50	70	120	18	13
VAL	deermouse	M	59	93	152	20	15
VAL	deermouse	M	48	56	104	17	10
VAL	deermouse	M	50	76	126	19	14
VAL	deermouse	M	67	85	152	17	12
VAL	deermouse	M	53	67	120	17	13
VAL	deermouse	M	53	72	125	18	6
VAL	deermouse	M	55	77	132	18	7
VAL	deermouse	M	51	74	125	18	11
VAL	deermouse	M	56	79	135	19	11
VAL	deermouse	M	58	72	130	18	7
VAL	deermouse	M	52	76	128	19	6
VAL	deermouse	M	60	80	140	20	12
VAL	deermouse	M	53	65	118	18	12
VAL	deermouse	M	70	95	165	14	12
VAL	deermouse	M	52	68	120	18	12
VAL	deermouse	M	60	80	140	19	11
VAL	deermouse	M	60	70	130	19	12
VAL	deermouse	M	55	70	125	13	11
VAL	deermouse	M	52	68	120	19	12
VAL	deermouse	F	57	87	144	16	11
VAL	deermouse	M	52	85	137	18	13
VAL	deermouse	M	53	67	120	18	13
VAL	deermouse	M	47	74	121	17	12
VAL	deermouse	M	63	94	157	19	15
91	whitefooted	M	81.96	89.6	171.56	21.13	15.16
1	whitefooted	M	65.43	76.38	141.81	20.85	13.24
1	whitefooted	F	67.18	75.86	143.04	21.23	12.67
1	whitefooted	M	70.42	80.95	151.37	21.61	13.65
1	whitefooted	F	81.59	86.58	168.17	22.2	13.87
1	whitefooted	F	68.66	77.66	146.32	20.96	14.01
1	whitefooted	M	66.42	79.38	145.8	21.42	14.57
1	whitefooted	F	68.8	73.74	142.54	20.05	13.69
1	whitefooted	F	70.98	81.14	152.12	20.8	13.17
1	whitefooted	F	66.21	77.38	143.59	21.14	13.71
1	whitefooted	M	65.97	72.43	138.4	20.08	13.19
1	whitefooted	M	69.65	82.48	152.13	20.46	13.36
1	whitefooted	F	76.58	78.56	155.14	21.21	13.97
1	whitefooted	F	65.55	72.52	138.07	20.27	13.71
1	whitefooted	M	75.42	83.13	158.55	20.64	14.25
1	whitefooted	F	65.82	77.62	143.44	20.82	13.05
1	whitefooted	F	64.84	75.87	140.71	20.09	13.56
1	whitefooted	F	64.4	73.09	137.49	20.41	13.67
1	whitefooted	M	82.37	89.14	171.51	21.74	13.5
1	whitefooted	M	72.1	83.91	156.01	21.47	13.79
1	whitefooted	F	68.19	73.89	142.08	20.81	13.24
1	whitefooted	F	71.93	77.51	149.44	20.24	13.38
1	whitefooted	F	66.04	75.58	141.62	21.3	14.24
1	whitefooted	M	69.72	79.63	149.35	20.49	13.99
1	whitefooted	F	86.12	90.17	176.29	21.73	14.45
1	whitefooted	F	75.28	77.11	152.39	20.53	14.33
1	whitefooted	M	69.91	74.47	144.38	20.18	13.29
1	whitefooted	M	67.91	79.29	147.2	20.58	13.16
1	whitefooted	M	77.37	84.04	161.41	22.33	13.32
1	whitefooted	M	68.47	82.29	150.76	20.72	13.89
1	whitefooted	F	67.95	73.84	141.79	21.83	13.45
1	whitefooted	M	77.89	73.37	151.26	20.73	13.33
1	whitefooted	M	76	82.39	158.39	20.68	14.65
1	whitefooted	F	70.45	75.08	145.53	20.5	13.91
1	whitefooted	F	68.18	78.26	146.44	20.5	13.25
1	whitefooted	F	74.62	94.4	169.02	21.48	14.84
2	whitefooted	M	65.7	77.29	142.99	20.37	13.49
2	whitefooted	F	75.41	78.49	153.9	20.81	14.58
2	whitefooted	F	66.01	77.94	143.95	20.69	13.64
2	whitefooted	M	78.01	84.68	162.69	21.66	13.87
2	whitefooted	M	75.43	85.1	160.53	21.27	14.17
2	whitefooted	F	70.68	75.15	145.83	20.75	13.56
2	whitefooted	F	84	88.11	172.11	20.41	13.5
2	whitefooted	F	73.61	77.18	150.79	21.15	13.67
2	whitefooted	F	78.57	82.25	160.82	20.68	15.44
2	whitefooted	M	76.93	82.12	159.05	21.01	14.24
2	whitefooted	M	70.41	78.81	149.22	21.04	13.34
2	whitefooted	M	66.87	79.2	146.07	21.39	13.48
2	whitefooted	M	68.93	81.03	149.96	21.11	15.19
2	whitefooted	M	62.03	74.84	136.87	20.65	13.06
2	whitefooted	F	72.14	79.68	151.82	20.13	13.3
2	whitefooted	M	83.4	84	167.4	20	14.47
2	whitefooted	F	66.59	73.28	139.87	20.58	12.65
2	whitefooted	M	81.18	79.07	160.25	21.11	12.7
2	whitefooted	M	76.97	86.18	163.15	21.44	14.83
2	whitefooted	M	74.34	85.6	159.94	21.51	14.67
8	whitefooted	M	69.5	82.26	151.76	20.77	13.92
8	whitefooted	M	61.8	80.39	142.19	19.17	12.76
8	whitefooted	M	81.22	88.4	169.62	21.63	14.16
8	whitefooted	F	77.08	81.85	158.93	20.74	13.16
8	whitefooted	F	74.95	81.82	156.77	20.78	13.52
8	whitefooted	M	58.87	81.59	140.46	19.42	12.86
8	whitefooted	M	80.68	81.31	161.99	21.04	13.62
8	whitefooted	M	70.35	83.86	154.21	20.81	13.92
8	whitefooted	M	73.5	86.48	159.98	20.51	14.46
8	whitefooted	F	63.2	75.5	138.7	19.52	13.09
15	whitefooted	F	62.91	80.5	143.41	19.44	11.33
15	whitefooted	F	67.25	77.89	145.14	19.4	13.87
15	whitefooted	M	65.62	85.46	151.08	19.68	13.62
15	whitefooted	M	65.04	82.88	147.92	20.8	13.45
15	whitefooted	M	69.07	80.68	149.75	19.66	12.94
15	whitefooted	M	71.44	80.53	151.97	19.53	12.02
15	whitefooted	M	64.73	81.61	146.34	20.21	14.13
15	whitefooted	M	69.64	80.87	150.51	19.98	13.14
15	whitefooted	M	68.03	79.49	147.52	19.58	13.53
15	whitefooted	M	68.27	81.75	150.02	19.44	14.27
19	whitefooted	F	67.61	80.35	147.96	20.98	14.23
19	whitefooted	M	85.24	91.75	176.99	22.16	14.26
19	whitefooted	M	80.8	89.9	170.7	22.47	15.11
19	whitefooted	F	79.79	89.78	169.57	21.58	16.04
19	whitefooted	F	82.83	98.22	181.05	22.35	16.3
19	whitefooted	F	79.2	90.77	169.97	22.54	15.07
19	whitefooted	M	62.32	72.46	134.78	19.36	13.89
19	whitefooted	M	81.85	88.94	170.79	21.65	16.28
19	whitefooted	M	66.57	77.89	144.46	20.18	13.52
19	whitefooted	M	68.38	76.12	144.5	20.36	12.77
19	whitefooted	M	87.32	90.98	178.3	21.75	13.94
19	whitefooted	M	68.08	67.47	135.55	19.8	14.26
19	whitefooted	U	84.08	95.08	179.16	22.32	15.53
19	whitefooted	F	67.87	79.69	147.56	21.26	14.14
19	whitefooted	M	71.1	80.82	151.92	20.72	13.32
19	whitefooted	F	69.93	78.94	148.87	21.3	13.31
19	whitefooted	F	67.95	71.32	139.27	20.73	13.61
19	whitefooted	F	80.38	88.22	168.6	21.45	15.42
19	whitefooted	M	68.2	77.14	145.34	20.81	13.43
19	whitefooted	M	92.94	91.4	184.34	23.2	16.31
19	whitefooted	M	74.32	81.86	156.18	21.49	14.12
19	whitefooted	M	66.94	74.65	141.59	20.4	12.92
19	whitefooted	F	79.56	87.5	167.06	21.27	14.51
19	whitefooted	M	75.1	85.16	160.26	20.57	13.26
19	whitefooted	F	83.38	92.68	176.06	23	14.79
19	whitefooted	F	59.71	67.68	127.39	19.01	13.06
19	whitefooted	M	70.51	77.01	147.52	19.79	14.01
19	whitefooted	F	85.05	92.07	177.12	21.56	16.67
19	whitefooted	F	82.63	94.12	176.75	20.91	15.02
19	whitefooted	F	88.62	101.68	190.3	21.45	16.15
19	whitefooted	M	73.03	80.82	153.85	22.23	13.81
19	whitefooted	M	70.04	68.74	138.78	20.36	13.73
19	whitefooted	U	81.43	97.99	179.42	21.18	14.59
19	whitefooted	M	71.19	88.79	159.98	20.6	12.96
19	whitefooted	F	68.05	81.39	149.44	21.43	13.84
19	whitefooted	M	59.73	65.23	124.96	20.22	12.47
19	whitefooted	F	65.63	69.95	135.58	20.02	13.84
19	whitefooted	M	67.7	79.91	147.61	20.08	13.29
19	whitefooted	F	69.42	85.15	154.57	20.32	13.95
19	whitefooted	M	70.97	79.84	150.81	21.61	12.39
21	whitefooted	M	66.71	82.82	149.53	20.66	13.09
21	whitefooted	M	55.92	78.23	134.15	21.56	13.16
21	whitefooted	F	70.21	82.01	152.22	19.38	12.86
26	whitefooted	M	69.25	77.54	146.79	20.76	12.6
26	whitefooted	M	69.41	83.65	153.06	20.96	11.46
26	whitefooted	F	81.33	85.68	167.01	20.88	12.18
26	whitefooted	M	72.55	54.56	127.11	20.04	14.34
26	whitefooted	M	68.19	79.98	148.17	21.3	13.79
26	whitefooted	F	76.53	79.72	156.25	20.18	11.21
26	whitefooted	M	71.7	85.9	157.6	21.73	12.28
26	whitefooted	M	82.02	87.8	169.82	21.32	12.91
26	whitefooted	M	66.31	78.58	144.89	20.24	13.85
26	whitefooted	M	78.79	80.56	159.35	21.57	14.39
26	whitefooted	F	76.79	83.06	159.85	20.7	12.37
26	whitefooted	M	64.11	79.16	143.27	20.1	12.19
26	whitefooted	F	78.2	86.04	164.24	21.23	13.35
26	whitefooted	M	65.58	76.68	142.26	21.01	13.38
29	whitefooted	F	78.69	84.4	163.09	20.37	14.58
29	whitefooted	F	63.91	67.43	131.34	19.65	12.54
29	whitefooted	F	68.47	74.1	142.57	20.34	13.46
29	whitefooted	F	78.93	90.32	169.25	21.33	14.25
29	whitefooted	F	74.32	86.24	160.56	20.28	12.94
29	whitefooted	F	70.6	77.91	148.51	20.33	13.17
29	whitefooted	F	76.46	89.47	165.93	20.91	13.71
29	whitefooted	F	82.27	86.4	168.67	21.04	13.44
29	whitefooted	M	73.42	86.62	160.04	21.15	14.07
29	whitefooted	M	72.88	83.16	156.04	20.9	13.13
29	whitefooted	M	75.14	82.31	157.45	21.13	13.65
29	whitefooted	F	63.87	71.04	134.91	19.55	12.8
29	whitefooted	M	40.92	76.63	117.55	19.81	13.41
29	whitefooted	F	77.36	82.68	160.04	20.4	13.57
29	whitefooted	F	69.19	80.32	149.51	20.25	13.18
29	whitefooted	M	82.63	88.12	170.75	20.63	14.38
29	whitefooted	M	76.85	88.53	165.38	21.3	14.59
29	whitefooted	F	72.79	85.35	158.14	20.03	13.52
29	whitefooted	F	65.49	79.96	145.45	21.43	13.95
29	whitefooted	M	76.23	90.49	166.72	21.26	14.17
29	whitefooted	F	61.52	78.77	140.29	21.3	14
29	whitefooted	F	74.16	85.63	159.79	20.97	13.23
35	whitefooted	M	62.63	84.08	146.71	19.75	14.37
35	whitefooted	M	83.18	87.09	170.27	21.36	12.78
35	whitefooted	F	68.39	82.05	150.44	19.51	14.06
35	whitefooted	M	68.76	77.96	146.72	19.67	12.72
35	whitefooted	M	68.35	78.07	146.42	20.09	13.17
35	whitefooted	F	81.25	93.45	174.7	21.78	14.22
35	whitefooted	M	75.43	87.66	163.09	20.89	14.7
35	whitefooted	F	65.66	78.96	144.62	20.7	13.51
35	whitefooted	M	67.9	83.36	151.26	20.98	13.32
35	whitefooted	M	81.48	88.02	169.5	22.19	13.93
35	whitefooted	F	70.8	80.51	151.31	21.25	12.48
35	whitefooted	M	65.56	79.03	144.59	20.32	13.05
35	whitefooted	F	67.9	75.6	143.5	20.09	12.18
35	whitefooted	M	63.93	83.54	147.47	20.12	13.74
35	whitefooted	F	65.42	82.47	147.89	20.04	13.05
35	whitefooted	F	72.5	85.05	157.55	20.07	13.33
35	whitefooted	M	62.86	77.54	140.4	19.27	14.67
35	whitefooted	M	71.82	83.18	155	21.75	13.68
35	whitefooted	F	69.13	81.57	150.7	19.71	13.27
35	whitefooted	F	63.4	77.46	140.86	19.53	13.19
35	whitefooted	M	73.24	77.91	151.15	20.4	13.13
35	whitefooted	M	66.64	82.68	149.32	19.82	13.51
35	whitefooted	F	71.34	85.89	157.23	21.63	13.86
42	whitefooted	M	79.28	79.88	159.16	19.71	12.52
42	whitefooted	F	44.46	96.3	140.76	21.73	13.05
42	whitefooted	F	70.01	80.48	150.49	21.21	13.83
42	whitefooted	M	71.51	84.58	156.09	21.05	13.14
44	whitefooted	F	70.51	80.3	150.81	20.1	14.23
44	whitefooted	M	76.42	83.83	160.25	21.9	13.84
44	whitefooted	M	71.91	82.68	154.59	21.07	13.56
44	whitefooted	M	74.41	82.3	156.71	21.13	14.11
44	whitefooted	M	70.01	81.46	151.47	21.68	13.77
44	whitefooted	F	68.72	74.21	142.93	21.07	13.94
44	whitefooted	M	84	88.94	172.94	21.56	14.63
44	whitefooted	M	75.76	88.67	164.43	22.47	14.03
44	whitefooted	F	76.65	89.33	165.98	20.05	12.38
44	whitefooted	M	77.4	92.21	169.61	21.4	14.71
44	whitefooted	M	73.51	82.21	155.72	22.55	14.19
44	whitefooted	F	73.92	78.41	152.33	20.55	13.41
44	whitefooted	M	71.69	83.9	155.59	21.5	12.89
44	whitefooted	M	80.9	91.82	172.72	21.4	13.88
44	whitefooted	M	71.92	82.51	154.43	22.33	14.2
44	whitefooted	F	69.52	79.46	148.98	21.05	13.12
44	whitefooted	M	73.03	83.21	156.24	21.28	14.31
44	whitefooted	M	68.97	83.2	152.17	20.62	14.11
52	whitefooted	M	69.89	78.08	147.97	22.68	14.4
52	whitefooted	M	71.94	81.29	153.23	19.24	12.7
52	whitefooted	F	83.01	86.73	169.74	22.29	14.38
